time,id,observation,observation_id,observation_type
0,0,108941711.72011162,0,X
28,0,127593663.30772768,0,X
56,0,127077533.69982657,0,X
87,0,113709031.00743863,0,X
115,0,77785617.9515842,0,X
143,0,45576477.19348255,0,X
174,0,33820636.54627155,0,X
202,0,19645899.8416914,0,X
230,0,11915421.587381957,0,X
261,0,6937116.629606424,0,X
0,1,145903304.2372854,0,X
27,1,127050434.51084635,0,X
57,1,129415399.09350301,0,X
87,1,107274440.69460559,0,X
114,1,79009910.8898169,0,X
144,1,44943828.20995129,0,X
174,1,28764562.966874883,0,X
202,1,17195727.102574293,0,X
232,1,10377758.32298203,0,X
0,2,139516373.14969575,0,X
29,2,101350254.97482844,0,X
58,2,85778343.27478972,0,X
87,2,58489553.60781792,0,X
114,2,40928873.73118693,0,X
143,2,27329442.903404523,0,X
172,2,16305233.54551534,0,X
202,2,9290010.73937961,0,X
0,3,123843886.02222347,0,X
28,3,90932059.94373041,0,X
56,3,75918717.29170713,0,X
85,3,51226271.65248368,0,X
116,3,27655140.299192276,0,X
145,3,16848297.534815904,0,X
173,3,10525294.223054033,0,X
202,3,5256886.34083386,0,X
230,3,2658742.4390416075,0,X
261,3,1612937.5680041304,0,X
0,4,115250286.5079501,0,X
27,4,164475902.53071964,0,X
58,4,227757923.4390428,0,X
85,4,179526125.9613036,0,X
116,4,143197074.4798589,0,X
143,4,109929006.71688621,0,X
174,4,59352176.337365605,0,X
202,4,38948396.28300454,0,X
232,4,19326104.341286827,0,X
0,5,132406157.4244179,0,X
29,5,219316450.50024426,0,X
56,5,326414267.79039603,0,X
86,5,259731196.44665867,0,X
115,5,176897517.55207855,0,X
145,5,81252839.32376008,0,X
172,5,49390448.295290604,0,X
202,5,17867373.852351516,0,X
0,6,103856166.09796189,0,X
28,6,178904256.5309469,0,X
57,6,173134255.59711033,0,X
86,6,124012650.63535699,0,X
115,6,84343083.036813,0,X
144,6,55620083.13951508,0,X
173,6,37825433.06903067,0,X
202,6,16121752.151916075,0,X
230,6,9639928.250961555,0,X
259,6,6191090.048094709,0,X
0,7,135648591.34841108,0,X
28,7,120052776.26527257,0,X
56,7,135960177.3693721,0,X
87,7,121212941.19780135,0,X
115,7,106670841.82485591,0,X
143,7,53956198.84187667,0,X
174,7,46031418.99240723,0,X
202,7,28752004.797914222,0,X
230,7,19825784.469535906,0,X
0,8,108572412.37236911,0,X
27,8,204435992.3883099,0,X
57,8,261436596.43225068,0,X
87,8,225757005.68428323,0,X
114,8,156760351.74502093,0,X
144,8,72266145.88055137,0,X
174,8,31019096.866875876,0,X
202,8,17661399.446774058,0,X
0,9,129504461.34360334,0,X
29,9,203469298.12240118,0,X
58,9,184823323.08680567,0,X
87,9,154030802.35258377,0,X
114,9,122472295.5639706,0,X
143,9,92309532.54660435,0,X
172,9,49699718.09909597,0,X
202,9,29421661.658561774,0,X
231,9,17631645.0819657,0,X
260,9,8274525.129131222,0,X
0,10,124588134.40400442,0,X
28,10,131501202.11243013,0,X
56,10,114230956.33702812,0,X
85,10,103658658.00828299,0,X
116,10,71136928.86695004,0,X
145,10,41426808.79370536,0,X
173,10,28634424.89658312,0,X
202,10,18095106.12362693,0,X
230,10,9097977.874197802,0,X
0,11,129831462.17335188,0,X
27,11,120008818.4853159,0,X
58,11,134576743.92936113,0,X
85,11,111995055.73399587,0,X
116,11,86520926.10339552,0,X
143,11,70057522.80876209,0,X
174,11,45394985.786682636,0,X
202,11,31861128.24826364,0,X
0,12,112418190.81442541,0,X
29,12,86356490.92238414,0,X
56,12,62502348.80988853,0,X
86,12,37493327.72702515,0,X
115,12,22841044.892316356,0,X
145,12,10925314.552465862,0,X
172,12,5479155.743398283,0,X
202,12,3396957.1248172177,0,X
231,12,2209380.147797521,0,X
261,12,1113313.4158686833,0,X
0,13,154418042.34858567,0,X
28,13,230003926.14786023,0,X
57,13,239879783.5587453,0,X
86,13,197012964.21965143,0,X
115,13,116841347.60718048,0,X
144,13,75154795.81371833,0,X
173,13,26795101.409751873,0,X
202,13,15980201.476352995,0,X
230,13,8254613.184061464,0,X
0,14,153738227.62061495,0,X
28,14,164187591.36732584,0,X
56,14,185180476.202504,0,X
87,14,143744861.6236405,0,X
115,14,93441406.31745411,0,X
143,14,72730987.63702029,0,X
174,14,37164420.99129062,0,X
202,14,15541999.284138925,0,X
0,0,7502646.439828372,1,Y
28,0,9131285.59427844,1,Y
56,0,9805606.328734286,1,Y
87,0,10469347.609686054,1,Y
115,0,10422852.317220263,1,Y
143,0,10727534.924897285,1,Y
174,0,12761319.83468866,1,Y
202,0,14420343.968296578,1,Y
230,0,12985552.480694192,1,Y
261,0,12912441.114094436,1,Y
0,1,6318949.7229936775,1,Y
27,1,8477772.462297436,1,Y
57,1,7765815.396312723,1,Y
87,1,7533302.662560708,1,Y
114,1,10306430.272882884,1,Y
144,1,10520431.453834258,1,Y
174,1,13022488.69071511,1,Y
202,1,13010413.632418156,1,Y
232,1,10840270.254738607,1,Y
0,2,8021302.583156095,1,Y
29,2,8898085.072575044,1,Y
58,2,8781819.349125825,1,Y
87,2,9345540.990972556,1,Y
114,2,10043247.405425083,1,Y
143,2,11422486.797556924,1,Y
172,2,10816798.466850301,1,Y
202,2,13851782.855271177,1,Y
0,3,7938892.633727414,1,Y
28,3,6912647.8455851935,1,Y
56,3,8767536.899712168,1,Y
85,3,9455417.179229686,1,Y
116,3,9251218.981698431,1,Y
145,3,10444265.130033791,1,Y
173,3,10419525.224084936,1,Y
202,3,12214874.022995565,1,Y
